                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1791,                 2.0628,                 1.2701,                0.65945,                0.29778,                0.43186,                0.27144,                 1.2228,                 2.1852,                 1.2855,             0.00054698,             0.00054698,             0.00054698
                      2,                 1.3101,                  1.657,                 1.3559,                0.37519,                0.38343,                0.31816,                0.15599,                 1.5654,                 2.2405,                 1.6215,              0.0010917,              0.0010917,              0.0010917
                      3,                 1.4252,                 1.7387,                   1.44,                0.50176,                0.36646,                0.38077,                0.20158,                 1.5947,                 2.0055,                 1.6123,              0.0016255,              0.0016255,              0.0016255
                      4,                 1.4242,                 1.7135,                 1.4551,                0.49924,                0.44706,                0.41623,                0.20208,                 1.7017,                  2.275,                 1.7498,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.4529,                 1.7289,                 1.4727,                0.44132,                0.42832,                0.37342,                0.20936,                 1.5333,                 2.0357,                 1.5468,               0.001601,               0.001601,               0.001601
                      6,                 1.4091,                 1.6674,                 1.4453,                0.53677,                0.41837,                0.43722,                0.22748,                 1.5096,                 2.1186,                 1.5511,              0.0015845,              0.0015845,              0.0015845
                      7,                  1.404,                 1.6227,                 1.4539,                0.50552,                0.41102,                0.37938,                0.20376,                 1.5193,                 2.0649,                 1.5686,               0.001568,               0.001568,               0.001568
                      8,                 1.3964,                 1.5861,                 1.4357,                0.48299,                0.46293,                0.44231,                0.23544,                 1.5113,                 1.9445,                 1.5198,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3532,                 1.5623,                 1.4119,                0.44899,                0.43584,                0.39864,                0.20947,                 1.5825,                 1.8553,                 1.6661,               0.001535,               0.001535,               0.001535
                     10,                 1.3549,                  1.533,                 1.4088,                0.61135,                0.50728,                0.55204,                0.30565,                 1.5027,                 1.6245,                 1.5328,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3269,                 1.5141,                 1.3852,                0.60526,                0.54635,                 0.5725,                  0.331,                 1.3847,                 1.5289,                 1.4763,               0.001502,               0.001502,               0.001502
                     12,                 1.3166,                 1.5122,                 1.4017,                0.58057,                0.54683,                0.56371,                0.32801,                 1.3856,                 1.7245,                 1.4463,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.3088,                 1.4628,                 1.3718,                0.58116,                0.52808,                0.53566,                0.30504,                 1.4894,                 1.5149,                 1.4975,               0.001469,               0.001469,               0.001469
                     14,                 1.2893,                 1.4663,                 1.3787,                0.61483,                0.49319,                 0.5345,                0.31806,                 1.3842,                  1.571,                 1.4567,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.2626,                 1.4158,                  1.361,                0.62148,                0.46934,                0.54299,                0.33298,                 1.3313,                 1.5487,                 1.4335,               0.001436,               0.001436,               0.001436
                     16,                 1.2734,                 1.4112,                 1.3517,                 0.6806,                0.50826,                0.59016,                0.36196,                 1.3223,                 1.5677,                 1.4293,              0.0014195,              0.0014195,              0.0014195
