                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1905,                 2.0581,                 1.2834,                0.57569,                0.41968,                0.48089,                0.27982,                 1.2629,                 2.0798,                 1.3223,             0.00054698,             0.00054698,             0.00054698
                      2,                  1.333,                  1.649,                 1.3679,                0.45039,                0.44439,                 0.4181,                0.23281,                 1.4667,                 1.9654,                 1.5471,              0.0010917,              0.0010917,              0.0010917
                      3,                 1.4446,                 1.7605,                  1.446,                0.55173,                0.34682,                0.38243,                0.19835,                 1.5736,                  2.588,                   1.73,              0.0016255,              0.0016255,              0.0016255
                      4,                 1.4752,                 1.8014,                 1.4906,                0.48828,                0.44022,                0.41989,                0.21075,                 1.5986,                 2.3707,                  1.725,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5063,                 1.7955,                 1.5056,                0.47519,                0.46638,                0.46104,                0.25318,                 1.5185,                 1.8154,                 1.5654,               0.001601,               0.001601,               0.001601
                      6,                 1.4183,                 1.7152,                 1.4595,                0.49747,                0.40813,                0.42087,                 0.2339,                 1.5099,                 2.0487,                 1.5477,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4266,                 1.6987,                 1.4746,                0.44363,                0.41683,                0.41525,                0.22438,                 1.4732,                  1.936,                 1.5445,               0.001568,               0.001568,               0.001568
                      8,                 1.3994,                 1.6453,                 1.4452,                 0.5869,                0.47126,                0.49008,                0.28139,                 1.4385,                 1.9174,                 1.5182,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3996,                 1.6135,                  1.424,                0.61145,                 0.4332,                0.48485,                0.26009,                  1.467,                 1.7044,                 1.5342,               0.001535,               0.001535,               0.001535
                     10,                 1.3722,                 1.5676,                 1.4184,                0.56154,                0.51671,                0.54716,                0.32098,                 1.4472,                 1.5888,                 1.5163,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3325,                 1.5277,                 1.4064,                0.64653,                0.49888,                0.55836,                0.32505,                 1.3938,                 1.5249,                  1.485,               0.001502,               0.001502,               0.001502
                     12,                 1.3244,                  1.534,                 1.3988,                0.57714,                0.52552,                0.54894,                0.33171,                 1.3582,                 1.6878,                 1.4702,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.3218,                 1.4954,                 1.3863,                0.61938,                0.52436,                0.57241,                0.33548,                 1.3925,                 1.6098,                 1.4905,               0.001469,               0.001469,               0.001469
                     14,                 1.3083,                 1.4596,                 1.3924,                0.59639,                0.48492,                0.52736,                0.30986,                  1.419,                 1.7502,                 1.4831,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.2959,                 1.4716,                 1.3771,                0.67081,                0.50475,                0.57268,                0.34113,                 1.3446,                  1.512,                 1.4478,               0.001436,               0.001436,               0.001436
                     16,                 1.2799,                 1.4141,                 1.3633,                0.67581,                0.47277,                0.53746,                0.33927,                 1.3177,                 1.7439,                 1.4428,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.2812,                 1.4315,                 1.3629,                0.54391,                0.52772,                0.53855,                0.31408,                  1.392,                 1.5775,                 1.4975,              0.0014029,              0.0014029,              0.0014029
                     18,                   1.28,                 1.4251,                 1.3622,                0.69309,                 0.5683,                0.62525,                  0.372,                 1.3031,                 1.4725,                 1.4238,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.2607,                  1.401,                 1.3561,                0.62906,                0.55137,                0.58427,                 0.3452,                 1.3289,                 1.5241,                 1.4135,              0.0013699,              0.0013699,              0.0013699
                     20,                  1.221,                 1.3589,                 1.3246,                0.70567,                 0.5208,                0.60862,                0.35274,                 1.3821,                 1.4664,                 1.4755,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.2412,                  1.351,                  1.334,                0.64814,                0.56317,                0.62554,                0.38007,                 1.3143,                 1.4333,                  1.418,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.2469,                 1.3591,                 1.3483,                0.65265,                 0.5759,                0.62023,                 0.3948,                 1.2575,                 1.3622,                  1.389,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.2151,                 1.3346,                  1.324,                0.68178,                0.60694,                0.65399,                0.42208,                 1.2508,                  1.416,                 1.3977,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.2038,                 1.3135,                 1.3033,                0.61337,                 0.6018,                0.61909,                0.38439,                 1.2943,                   1.42,                 1.4013,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.1962,                 1.3048,                 1.3162,                0.63954,                0.59344,                0.62956,                0.39417,                 1.2827,                 1.4062,                 1.4145,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.1892,                 1.2745,                 1.2947,                0.68407,                0.57217,                0.63396,                0.41203,                 1.2266,                 1.3595,                 1.3489,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.1783,                 1.2522,                 1.2943,                0.66946,                0.59314,                0.64568,                0.40193,                 1.2714,                 1.4163,                 1.3911,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.1828,                 1.2722,                 1.3003,                0.70178,                0.54327,                0.59796,                0.36917,                 1.2967,                 1.3885,                 1.4071,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.1598,                 1.2354,                 1.2832,                0.71594,                0.55186,                0.64049,                0.42066,                 1.2236,                 1.3628,                 1.3585,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.1613,                 1.2454,                 1.2865,                0.65601,                0.59808,                0.65755,                0.44166,                 1.1955,                 1.2675,                 1.3273,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.1515,                 1.2279,                 1.2799,                  0.707,                0.59856,                0.65648,                0.42326,                 1.2688,                 1.3165,                 1.3932,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.1459,                 1.2183,                 1.2715,                 0.6974,                  0.575,                0.63983,                0.41472,                 1.2544,                 1.3378,                 1.4058,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.1554,                 1.1949,                 1.2762,                0.71584,                0.59386,                0.67805,                0.43354,                 1.2098,                 1.3137,                 1.3315,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.1122,                 1.2034,                 1.2712,                0.65147,                0.61725,                0.67521,                 0.4426,                 1.2098,                 1.2806,                 1.3386,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.1231,                 1.1886,                 1.2622,                0.74849,                0.55407,                0.65101,                 0.4032,                 1.2723,                 1.2691,                 1.3912,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.1273,                 1.1884,                 1.2705,                0.70027,                 0.5604,                0.62551,                0.40018,                 1.2394,                 1.3812,                 1.3924,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.1156,                 1.1537,                 1.2647,                0.72798,                0.59088,                0.68055,                0.43363,                 1.2275,                 1.2149,                  1.362,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1224,                 1.1579,                 1.2572,                0.71378,                 0.6127,                0.66005,                0.43711,                 1.1863,                 1.2552,                 1.3168,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.1123,                 1.1536,                  1.255,                 0.7061,                0.61982,                0.68385,                0.44212,                 1.1842,                 1.2437,                  1.323,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0845,                 1.1435,                 1.2495,                0.70793,                0.61765,                0.68665,                0.45334,                 1.1655,                 1.2428,                 1.3207,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0915,                 1.1153,                 1.2358,                0.78972,                0.60255,                0.70015,                0.45699,                 1.2008,                 1.2364,                 1.3286,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0724,                 1.1004,                 1.2275,                0.74412,                0.62326,                0.68862,                0.45147,                 1.1547,                 1.2013,                 1.3375,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0853,                 1.1086,                 1.2388,                0.76015,                0.59755,                0.69757,                0.45747,                 1.1804,                   1.23,                 1.3317,             0.00097386,             0.00097386,             0.00097386
                     44,                  1.064,                 1.1101,                 1.2267,                 0.7353,                0.58133,                0.67941,                0.46123,                 1.1863,                 1.2145,                 1.3414,             0.00095736,             0.00095736,             0.00095736
                     45,                  1.069,                 1.0802,                  1.232,                0.76428,                0.60722,                0.69709,                0.47726,                 1.1223,                 1.1809,                 1.2956,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.0782,                 1.0913,                   1.23,                0.70133,                0.62898,                0.67227,                0.44456,                 1.1649,                 1.2312,                 1.3149,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.0451,                 1.0705,                 1.2168,                0.76679,                0.62332,                0.70127,                0.46409,                   1.18,                 1.1908,                 1.3222,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.0638,                 1.0893,                 1.2241,                0.79926,                0.59316,                0.69484,                0.47236,                 1.1723,                 1.1738,                 1.3434,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.0499,                  1.058,                 1.2218,                0.75709,                0.60832,                0.68906,                0.46319,                 1.1595,                 1.2484,                 1.3287,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.0354,                 1.0446,                  1.212,                0.70122,                0.64778,                0.68556,                0.46539,                 1.1585,                 1.2127,                 1.3271,             0.00085834,             0.00085834,             0.00085834
                     51,                   1.04,                 1.0414,                 1.2049,                0.73209,                0.62996,                0.69016,                0.46838,                 1.1174,                 1.2126,                  1.272,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.0386,                 1.0486,                 1.2087,                  0.756,                0.66796,                 0.7207,                0.48944,                 1.1784,                  1.121,                 1.3136,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.0403,                 1.0316,                 1.2013,                0.74451,                0.63764,                0.71178,                0.48026,                 1.1636,                 1.1311,                 1.3108,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0164,                 1.0204,                 1.1997,                0.76963,                0.60725,                0.69215,                0.46963,                 1.1515,                 1.2225,                 1.3109,             0.00079233,             0.00079233,             0.00079233
                     55,                0.99908,                 1.0046,                 1.1851,                0.73445,                0.63612,                0.69615,                0.48219,                 1.1378,                 1.2183,                 1.3072,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.0093,                 1.0058,                 1.1811,                0.80415,                0.61367,                0.72155,                0.49186,                 1.1225,                 1.1479,                  1.289,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.0123,                0.97876,                 1.1877,                0.77686,                0.62029,                0.69327,                0.47715,                  1.111,                 1.1825,                 1.2798,             0.00074282,             0.00074282,             0.00074282
                     58,                  1.014,                  1.009,                 1.1925,                0.79573,                0.59957,                0.71285,                0.49218,                  1.117,                 1.1399,                 1.2786,             0.00072631,             0.00072631,             0.00072631
                     59,                0.99733,                 1.0007,                 1.1791,                0.76185,                0.61232,                0.69945,                 0.4854,                 1.1264,                 1.1746,                 1.2848,             0.00070981,             0.00070981,             0.00070981
                     60,                0.97741,                0.96666,                 1.1728,                0.72568,                0.63702,                0.70436,                0.49159,                 1.1138,                 1.1683,                 1.2823,             0.00069331,             0.00069331,             0.00069331
                     61,                0.99092,                0.95097,                 1.1636,                0.77394,                0.61402,                0.71155,                0.49755,                 1.1068,                 1.1604,                 1.2711,              0.0006768,              0.0006768,              0.0006768
                     62,                0.96361,                0.93872,                  1.168,                0.77193,                0.64075,                0.72918,                0.50176,                 1.1315,                  1.145,                 1.2927,              0.0006603,              0.0006603,              0.0006603
                     63,                0.98872,                 0.9766,                 1.1843,                0.81661,                 0.5977,                 0.7141,                0.49209,                 1.1305,                 1.1183,                 1.2957,              0.0006438,              0.0006438,              0.0006438
                     64,                0.95003,                0.94245,                 1.1656,                0.85725,                0.60268,                0.71939,                0.49474,                 1.1275,                 1.1174,                 1.2807,             0.00062729,             0.00062729,             0.00062729
                     65,                0.96774,                0.95064,                 1.1625,                0.80276,                0.59618,                0.70675,                0.49544,                 1.1307,                 1.1407,                 1.2799,             0.00061079,             0.00061079,             0.00061079
                     66,                0.94139,                0.92813,                 1.1622,                0.78968,                0.64213,                0.72875,                0.51305,                 1.1171,                 1.1106,                 1.2858,             0.00059429,             0.00059429,             0.00059429
                     67,                0.98375,                0.95502,                 1.1733,                0.77395,                0.62383,                0.69329,                0.47554,                 1.1478,                 1.1782,                 1.3186,             0.00057778,             0.00057778,             0.00057778
                     68,                0.93065,                0.91096,                  1.145,                0.74648,                0.65794,                0.72821,                0.51317,                  1.115,                 1.0743,                 1.2592,             0.00056128,             0.00056128,             0.00056128
                     69,                0.94657,                0.93045,                  1.162,                0.74566,                0.66204,                0.71622,                0.50402,                 1.1226,                 1.1111,                 1.2734,             0.00054478,             0.00054478,             0.00054478
                     70,                0.93809,                0.90691,                 1.1366,                0.75143,                0.64324,                0.70546,                0.48854,                 1.1001,                 1.1275,                 1.2812,             0.00052827,             0.00052827,             0.00052827
                     71,                0.93363,                0.88303,                 1.1383,                0.79693,                0.61513,                0.70454,                0.48259,                 1.1241,                 1.1857,                 1.2805,             0.00051177,             0.00051177,             0.00051177
                     72,                0.93033,                0.89305,                 1.1481,                0.80461,                0.62076,                0.72876,                0.50451,                 1.0985,                 1.1349,                 1.2722,             0.00049527,             0.00049527,             0.00049527
                     73,                0.93578,                0.90802,                 1.1445,                0.77976,                0.65392,                0.72616,                0.50217,                 1.1108,                 1.1385,                 1.2806,             0.00047876,             0.00047876,             0.00047876
                     74,                0.91975,                0.88574,                 1.1478,                0.82376,                0.62767,                0.74468,                   0.51,                 1.0721,                 1.0879,                 1.2609,             0.00046226,             0.00046226,             0.00046226
                     75,                0.91771,                0.87701,                 1.1362,                0.79524,                0.62867,                0.73399,                0.51803,                 1.0592,                 1.0704,                 1.2384,             0.00044576,             0.00044576,             0.00044576
                     76,                0.91457,                0.87336,                 1.1284,                0.77169,                0.64148,                0.72769,                0.51276,                 1.0909,                 1.1076,                 1.2571,             0.00042925,             0.00042925,             0.00042925
